,ward_no,date,mean
224,54,2018-07-17,-0.6081633616728992
225,122,2018-07-17,-0.9016107604471084
226,29,2018-07-17,-0.4976958763008834
227,109,2018-07-17,-0.9043179174918664
228,32,2018-07-17,-0.4640732312332921
229,57,2018-07-17,-0.4924990395327095
230,136,2018-07-17,-0.7685378991042913
231,106,2018-07-17,-0.7612238211054168
232,4,2018-07-17,-0.5144577647612688
233,52,2018-07-17,-0.5772321756366201
234,38,2018-07-17,-0.5936923000524176
235,81,2018-07-17,-0.7798281120754251
236,127,2018-07-17,-0.8464067809821275
237,53,2018-07-17,-0.5828712064955476
238,34,2018-07-17,-0.4538872011842239
239,135,2018-07-17,-0.7988083825375241
240,117,2018-07-17,-0.7872692623163811
241,130,2018-07-17,-0.8250817669583357
242,19,2018-07-17,-0.6568894968856531
243,78,2018-07-17,-0.7492936658023059
244,27,2018-07-17,-0.5883527636684255
245,98,2018-07-17,-0.9155306111771502
246,6,2018-07-17,-0.5690528304250454
247,2,2018-07-17,-0.5698619166569168
248,59,2018-07-17,-0.631797347550722
249,131,2018-07-17,-0.8126079515890383
250,42,2018-07-17,-0.6453296535514049
251,129,2018-07-17,-0.859550803568339
252,51,2018-07-17,-0.5741109329641995
253,120,2018-07-17,-0.8354196385584813
254,8,2018-07-17,-0.6533171755130657
255,1,2018-07-17,-0.6292510276449862
256,80,2018-07-17,-0.7392719851766564
257,55,2018-07-17,-0.588881437357499
258,64,2018-07-17,-0.6230966092795946
259,107,2018-07-17,-0.6705929280040448
260,77,2018-07-17,-0.7219938445944949
261,28,2018-07-17,-0.5626640781485774
262,112,2018-07-17,-0.9972735665938218
263,133,2018-07-17,-0.7344969540568625
264,65,2018-07-17,-0.658338700744604
265,24,2018-07-17,-0.6471692326226439
266,128,2018-07-17,-0.8627326588372188
267,50,2018-07-17,-0.5736285598860734
268,113,2018-07-17,-0.9714491480228264
269,94,2018-07-17,-0.7951198217299834
270,79,2018-07-17,-0.7783170920636449
271,11,2018-07-17,-0.5414973801081001
272,15,2018-07-17,-0.5660434154718643
273,140,2018-07-17,-0.7202956222948885
274,97,2018-07-17,-0.852222291194766
275,48,2018-07-17,-0.5766948448024766
276,35,2018-07-17,-0.4297986730190826
277,116,2018-07-17,-0.8406173383582729
278,95,2018-07-17,-0.8322767021753495
279,30,2018-07-17,-0.40501490938403023
280,58,2018-07-17,-0.546956979892155
281,105,2018-07-17,-0.7348909965695509
282,20,2018-07-24,-0.5414626303189021
283,102,2018-07-24,-0.5380513502748705
284,46,2018-07-24,-0.5687569451942659
285,73,2018-07-24,-0.5466945597486219
286,82,2018-07-24,-0.4977081725113807
287,124,2018-07-24,-0.5576574424822661
288,56,2018-07-24,-0.5860006047339372
289,3,2018-07-24,-0.5922566789997663
290,36,2018-07-24,-0.5841344132266468
291,41,2018-07-24,-0.5715530045292017
292,37,2018-07-24,-0.5754959164674314
293,139,2018-07-24,-0.6008493897513739
294,23,2018-07-24,-0.5654071215350515
295,40,2018-07-24,-0.5817649947567507
296,121,2018-07-24,-0.5169930615093301
297,33,2018-07-24,-0.6131734850036914
298,103,2018-07-24,-0.549433527310732
299,13,2018-07-24,-0.6033662184634894
300,66,2018-07-24,-0.5806168292105827
301,123,2018-07-24,-0.5498574427348005
302,63,2018-07-24,-0.5542908727492629
303,21,2018-07-24,-0.5440324126552194
304,49,2018-07-24,-0.5812117645979205
305,70,2018-07-24,-0.5539666236390226
306,45,2018-07-24,-0.5678316621353172
307,100,2018-07-24,-0.5412097413271505
308,92,2018-07-24,-0.5331035311469953
309,9,2018-07-24,-0.5415456803982267
310,114,2018-07-24,-0.542570393235945
311,101,2018-07-24,-0.5676112377369416
312,138,2018-07-24,-0.5700854963761934
313,31,2018-07-24,-0.6187109241218376
314,104,2018-07-24,-0.547257283117991
315,5,2018-07-24,-0.5905408204204137
316,126,2018-07-24,-0.5597977066728856
317,14,2018-07-24,-0.6226388233880923
318,111,2018-07-24,-0.5648676734593442
319,93,2018-07-24,-0.5049902988836169
320,61,2018-07-24,-0.5664231570945458
321,86,2018-07-24,-0.5120825199412321
322,90,2018-07-24,-0.5040703124340477
323,26,2018-07-24,-0.5442832403061793
324,72,2018-07-24,-0.5413307893758768
325,134,2018-07-24,-0.5783320890554754
326,99,2018-07-24,-0.5379022158419835
327,125,2018-07-24,-0.5587921344257311
328,118,2018-07-24,-0.4943425752016073
329,83,2018-07-24,-0.5043803300211044
330,43,2018-07-24,-0.5742140889827706
331,47,2018-07-24,-0.5769179458055842
332,115,2018-07-24,-0.5344308863308583
333,68,2018-07-24,-0.5381549700097054
334,39,2018-07-24,-0.5810651756404653
335,12,2018-07-24,-0.5810065673061293
336,108,2018-07-24,-0.5596290773258252
337,110,2018-07-24,-0.5787547294628537
338,141,2018-07-24,-0.5691479491471397
339,17,2018-07-24,-0.5457039350760922
340,7,2018-07-24,-0.5487058958602721
341,16,2018-07-24,-0.5572418787614221
342,137,2018-07-24,-0.5732221273236273
343,84,2018-07-24,-0.4978323460560745
344,18,2018-07-24,-0.5432326383585281
345,25,2018-07-24,-0.5666458355047408
346,60,2018-07-24,-0.5737979147926786
347,10,2018-07-24,-0.5459992698390155
348,62,2018-07-24,-0.5651332564336815
349,71,2018-07-24,-0.5558831222535731
350,91,2018-07-24,-0.535711817963967
351,75,2018-07-24,-0.5534945037610077
352,96,2018-07-24,-0.5193964829040351
353,88,2018-07-24,-0.493955279929072
354,44,2018-07-24,-0.5786383942669843
355,85,2018-07-24,-0.5020247657556199
356,89,2018-07-24,-0.5027795075510098
357,67,2018-07-24,-0.5551210161473391
358,76,2018-07-24,-0.5596296436059068
359,74,2018-07-24,-0.5411760535335466
360,87,2018-07-24,-0.4927625305002345
361,132,2018-07-24,-0.5017535601056667
362,69,2018-07-24,-0.5599261331967565
363,22,2018-07-24,-0.5584235556897601
364,119,2018-07-24,-0.4968178948546285
365,54,2018-07-24,-0.5722974285651363
366,122,2018-07-24,-0.5403665543292167
367,29,2018-07-24,-0.6103142524048185
368,109,2018-07-24,-0.5659118523562628
369,32,2018-07-24,-0.6282143171347507
370,57,2018-07-24,-0.6070378904163718
371,136,2018-07-24,-0.5913907174905136
372,106,2018-07-24,-0.5528627632359582
373,4,2018-07-24,-0.5938093325303894
374,52,2018-07-24,-0.5656577796552915
375,38,2018-07-24,-0.5808587377928139
376,81,2018-07-24,-0.495021211560384
377,127,2018-07-24,-0.5562080641358187
378,53,2018-07-24,-0.5681638577295799
379,34,2018-07-24,-0.6123133913557308
380,135,2018-07-24,-0.5777308699003335
381,117,2018-07-24,-0.5048672496908525
382,130,2018-07-24,-0.5033803703476907
383,19,2018-07-24,-0.5411145321976256
384,78,2018-07-24,-0.5603723482602982
385,27,2018-07-24,-0.5692631111109926
386,98,2018-07-24,-0.5359905463852995
387,6,2018-07-24,-0.5637626083196036
388,2,2018-07-24,-0.5966948168389784
389,59,2018-07-24,-0.5781504035063221
390,131,2018-07-24,-0.5092586769167127
391,42,2018-07-24,-0.5721893068990508
392,129,2018-07-24,-0.5085451753939412
393,51,2018-07-24,-0.5678784179730024
394,120,2018-07-24,-0.5003004350009472
395,8,2018-07-24,-0.5452027177144372
396,1,2018-07-24,-0.5778990544408451
397,80,2018-07-24,-0.5697018516959613
398,55,2018-07-24,-0.5711187605453523
399,64,2018-07-24,-0.5773397245973351
400,107,2018-07-24,-0.5510562603564161
401,77,2018-07-24,-0.559990629241891
402,28,2018-07-24,-0.6072821581303247
403,112,2018-07-24,-0.5446865532557718
404,133,2018-07-24,-0.5864159645705302
405,65,2018-07-24,-0.5737925552499076
406,24,2018-07-24,-0.5410195580032063
407,128,2018-07-24,-0.5199238174606368
408,50,2018-07-24,-0.5724554015223938
409,113,2018-07-24,-0.546530656433476
410,94,2018-07-24,-0.5095557267909915
411,79,2018-07-24,-0.5532316494363737
